IN_LEN,STR_TYPE,TRIES,ALPHABET_SIZE,ALG,NALG
3,1,1,2,3000,0
5,1,1,2,3000,0
8,1,1,2,1000,0
13,1,1,2,3000,1000
21,1,1,2,3000,1000
34,1,1,2,5000,2000
55,1,1,2,5000,4000
89,1,1,2,8000,6000
144,1,1,2,13000,11000
233,1,1,2,18000,20000
377,1,1,2,24000,41000
610,1,1,2,43000,80000
987,1,1,2,49000,193000
1597,1,1,2,78000,407000
2584,1,1,2,121000,1124000
4181,1,1,2,339000,2540000
6765,1,1,2,284000,6288000
10946,1,1,2,468000,14331000
17711,1,1,2,818000,40839000
28657,1,1,2,1378000,94170000
46368,1,1,2,2294000,271858000
75025,1,1,2,3712000,636010000
121393,1,1,2,6154000,1851188000
196418,1,1,2,10406000,4297722000
317811,1,1,2,16188000,12649479000
514229,1,1,2,27363000,29200811000
832040,1,1,2,44269000,85826834000
1346269,1,1,2,73928000,200339338000
